fighter_name,Height,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,TSNE1,TSNE2
Papy Abedi,"5' 11""",185 lbs.,,Southpaw,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,-16.585835,34.815796
Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2,-8.1821785,-8.324504
Danny Abbadi,"5' 11""",155 lbs.,,Orthodox,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0,30.779808,-12.874969
Hiroyuki Abe,"5' 6""",145 lbs.,,Orthodox,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0,3.544294,-41.972744
Ricardo Abreu,"5' 11""",185 lbs.,,Orthodox,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,11.573129,29.651854
Daichi Abe,"5' 11""",170 lbs.,"71""",Orthodox,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,28.92082,-9.231224
David Abbott,"6' 0""",265 lbs.,,Switch,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0,1.8723732,-20.422722
Klidson Abreu,"6' 0""",205 lbs.,"74""",Orthodox,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,-2.542555,-14.694172
Daniel Acacio,"5' 8""",180 lbs.,,Orthodox,3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0,13.960071,6.34226
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,40.89162,17.51516
Anthony Adams,"6' 1""",185 lbs.,"76""",Orthodox,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0,43.385338,-17.204775
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,3.95,0.49,2.63,0.61,0.0,0.0,0.82,0.3,16.509186,6.7376137
Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,1.93,0.23,3.35,0.6,0.0,0.0,0.0,0.0,5.4944715,-41.608166
Nick Agallar,"5' 8""",155 lbs.,,Orthodox,0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0,40.91211,-36.37015
Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,3.7,0.5,4.15,0.47,1.23,0.66,0.33,0.6,21.2442,-3.6127424
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,52.41192,-2.6496384
Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,3.69,0.37,4.47,0.53,0.19,0.25,0.87,0.0,31.840519,-10.90029
Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,3.35,0.41,4.89,0.46,0.0,0.0,0.0,0.0,33.75358,-14.741652
Hitomi Akano,"5' 4""",135 lbs.,,Southpaw,0.59,0.45,2.58,0.55,0.0,0.0,0.08,0.5,-4.0683975,-47.22916
Mike Aina,"5' 9""",155 lbs.,,Orthodox,2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0,43.9094,-19.847025
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,5.532684,-16.89837
Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,2.95,0.35,2.59,0.57,2.63,0.49,0.65,0.3,-21.694498,26.892387
Razak Al-Hassan,"6' 2""",205 lbs.,,Orthodox,3.27,0.39,3.14,0.6,0.65,0.14,0.57,0.0,11.372748,5.1927905
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,-11.5983,15.809009
Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,45.056572,-3.9303262
Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,6.1454525,-44.901268
Heili Alateng,"5' 5""",135 lbs.,"66""",Orthodox,2.87,0.32,5.82,0.57,2.33,0.35,1.0,0.0,3.5226114,41.412586
Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,4.06,0.4,3.15,0.58,2.28,0.75,0.66,0.8,2.8070004,25.988844
John Albert,"5' 8""",135 lbs.,"68""",Orthodox,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,-61.090153,-1.5877292
Aleksandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,16.797531,36.259293
Junior Albini,"6' 3""",264 lbs.,"74""",Orthodox,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,43.320145,-4.104203
Israel Albuquerque,,185 lbs.,,Orthodox,0.32,0.13,3.34,0.25,0.0,0.0,0.0,0.0,2.1600986,-51.899544
Ildemar Alcantara,"6' 2""",185 lbs.,"78""",Orthodox,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,-22.932232,8.902373
Iuri Alcantara,"5' 9""",135 lbs.,"71""",Southpaw,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,-6.1209226,0.9560358
Gilbert Aldana,"6' 1""",250 lbs.,,Orthodox,2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0,3.0726326,42.724377
Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,24.209602,-11.509965
Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,5.52,0.38,5.97,0.61,0.23,0.5,0.84,0.1,46.968082,4.5059934
JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,3.76,0.41,4.55,0.61,0.8,0.4,0.57,0.0,24.375187,-5.952494
Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,3.45,0.45,3.52,0.61,0.57,0.56,0.91,0.1,17.37703,-1.5963451
Kenneth Alexander,"5' 9""",155 lbs.,,Orthodox,0.88,0.19,2.2,0.66,4.71,0.26,0.0,0.0,-40.607983,32.679268
Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,-1.816999,35.614635
Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,4.968073,10.666985
John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,-22.725504,9.618938
Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,-9.313612,-21.524937
Olaf Alfonso,"6' 2""",170 lbs.,,Orthodox,1.65,0.38,4.77,0.53,0.37,0.07,0.22,0.7,35.961773,-31.22023
Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,6.8,0.56,5.31,0.38,0.67,0.33,0.62,0.0,46.96671,11.666946
Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0,-27.764826,-11.221903
John Allan,"6' 1""",205 lbs.,"75""",Orthodox,2.95,0.43,4.01,0.52,1.94,0.71,0.5,1.2,-9.613559,15.566913
Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5,-14.297191,-1.2752959
George Allen,"6' 2""",205 lbs.,,Open Stance,0.8,0.38,3.1,0.43,0.0,0.0,0.5,0.0,0.07395178,-47.9276
Ben Alloway,"5' 11""",170 lbs.,"76""",Orthodox,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,-22.88181,-18.380566
Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,3.55,0.59,4.57,0.39,1.17,0.37,0.5,2.0,5.839947,0.023346078
Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,-41.7799,26.950474
Magno Almeida,"6' 0""",155 lbs.,,,1.67,0.36,2.6,0.41,0.0,0.0,0.4,5.0,-60.701263,-3.6322534
Thomas Almeida,"5' 7""",145 lbs.,"70""",Southpaw,5.39,0.44,4.69,0.64,0.0,0.0,0.75,0.0,42.399178,7.415266
Ericka Almeida,"5' 6""",115 lbs.,,Orthodox,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0,-0.72149384,-21.256182
Mauricio Alonso,"6' 2""",170 lbs.,,,5.74,0.34,1.91,0.67,0.0,0.0,0.0,0.0,29.38047,15.875249
Estefani Almeida,"5' 4""",125 lbs.,,Orthodox,3.13,0.37,6.07,0.42,0.0,0.0,0.0,0.0,43.907764,-17.404776
Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,2.11,0.54,4.76,0.32,2.69,0.28,0.5,0.7,-1.2726077,39.301678
Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,-32.537804,29.609707
Mike Altman,"5' 10""",185 lbs.,,Orthodox,1.56,0.2,2.08,0.75,0.0,0.0,0.0,0.0,-4.226518,-40.77647
Sean Alvarez,"6' 0""",235 lbs.,,Orthodox,0.89,0.37,3.25,0.47,0.0,0.0,0.0,0.0,2.6601274,-48.119915
Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,14.760047,-12.157091
Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,2.84,0.37,3.31,0.53,0.0,0.0,0.0,1.6,12.112409,-2.2586005
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,11.690124,33.06114
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,0.5,0.46,2.02,0.3,0.0,0.0,0.53,0.0,-8.149223,-48.40201
Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,23.617638,1.7514397
Rafael Alves,"5' 8""",145 lbs.,"68""",Orthodox,2.02,0.45,3.66,0.59,0.0,0.0,1.0,1.9,-4.8041344,-26.362797
Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,3.09,0.47,3.62,0.5,1.48,0.54,0.75,1.0,-7.5622087,15.071484
Andre Amado,"6' 0""",154 lbs.,,Orthodox,2.27,0.24,5.91,0.63,0.0,0.0,0.2,0.0,44.391457,-23.006626
Maiara Amanajas dos Santos,"5' 5""",115 lbs.,,Southpaw,5.53,0.35,24.47,0.33,0.0,0.0,1.0,0.0,72.40667,-9.082464
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,-30.850733,43.109283
Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1,16.516008,-25.453606
Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,0.83,0.29,3.76,0.4,3.13,0.57,1.0,0.8,-23.144667,18.370113
JJ Ambrose,"5' 10""",170 lbs.,,Orthodox,3.16,0.69,6.32,0.33,0.0,0.0,0.5,0.0,44.780605,-16.662949
